No.;Frames;FIFO;RAND;OPT;LRU;SecondChance;
1;16;2394;2565;789;2340;2369;
2;17;2367;2485;717;2313;2322;
3;18;2363;2358;659;2279;2298;
4;19;2307;2289;621;2256;2252;
5;20;2274;2319;574;2200;2235;
6;21;2259;2247;539;2144;2201;
7;22;2239;2271;490;2115;2182;
8;23;2196;2233;464;2077;2167;
9;24;2154;2350;435;2034;2149;
10;25;2138;2195;401;1986;2079;
11;26;2127;2184;381;1924;2006;
12;27;2118;2028;352;1876;2007;
13;28;2094;2091;329;1791;1907;
14;29;2047;2173;314;1737;1893;
15;30;1998;1981;308;1671;1775;
16;31;1980;2125;285;1585;1761;
17;32;1968;2090;264;1511;1728;
18;33;1922;1970;233;1468;1751;
19;34;1885;2123;217;1452;1723;
20;35;1873;1834;208;1397;1711;
21;36;1786;1920;200;1349;1637;
22;37;1802;1833;198;1289;1532;
23;38;1748;1816;188;1237;1548;
24;39;1711;1837;182;1183;1443;
25;40;1708;1802;180;1153;1381;
26;41;1698;1758;177;1136;1386;
27;42;1641;1773;175;1127;1337;
28;43;1626;1756;173;1101;1260;
29;44;1569;1720;168;1094;1267;
30;45;1543;1637;164;1074;1233;
31;46;1532;1617;152;1047;1248;
32;47;1553;1555;152;1038;1217;
33;48;1521;1747;150;1030;1213;
34;49;1475;1640;148;1014;1231;
35;50;1475;1567;148;987;1208;
36;51;1419;1615;148;986;1143;
37;52;1424;1452;148;975;1131;
38;53;1436;1589;148;963;1130;
39;54;1440;1547;148;945;1125;
40;55;1416;1470;148;936;1101;
41;56;1362;1316;148;901;1065;
42;57;1325;1459;148;850;1033;
43;58;1319;1434;148;846;997;
44;59;1289;1444;148;842;1021;
45;60;1280;1505;148;835;980;
46;61;1279;1213;148;815;954;
47;62;1308;1285;148;782;927;
48;63;1318;1427;148;709;939;
49;64;1347;1268;148;689;937;
50;65;1340;1218;148;667;948;
51;66;1317;1195;148;667;948;
52;67;1313;1178;148;620;935;
53;68;1302;1311;146;616;887;
54;69;1287;1182;141;599;870;
55;70;1222;1183;138;574;878;
56;71;1209;1880;138;558;862;
57;72;1185;1181;138;527;845;
58;73;1135;1041;138;520;775;
59;74;1147;1169;138;519;761;
60;75;1153;1124;138;510;780;
61;76;1105;1084;138;510;860;
62;77;1081;985;138;510;855;
63;78;1068;1085;138;509;763;
64;79;1067;1053;138;504;700;
65;80;1051;1095;138;492;759;
66;81;1036;1026;138;492;742;
67;82;1036;985;138;477;764;
68;83;1017;1003;138;477;773;
69;84;994;1044;135;477;732;
70;85;985;922;134;469;678;
71;86;969;1005;134;459;721;
72;87;968;1095;134;459;656;
73;88;909;857;134;458;652;
74;89;907;942;134;450;651;
75;90;886;932;134;449;598;
76;91;861;901;134;448;610;
77;92;878;996;134;448;645;
78;93;838;921;134;440;594;
79;94;813;943;134;440;616;
80;95;817;775;134;421;624;
81;96;825;955;134;419;554;
82;97;818;846;134;410;546;
83;98;832;835;134;408;540;
84;99;841;861;134;394;543;
85;100;814;727;134;394;520;
86;101;798;856;134;379;467;
87;102;766;820;134;370;435;
88;103;763;824;134;366;388;
89;104;771;864;134;366;395;
90;105;753;750;134;355;419;
91;106;756;817;134;344;387;
92;107;710;619;134;339;388;
93;108;682;805;134;332;379;
94;109;640;788;134;332;409;
95;110;633;664;134;323;390;
96;111;675;763;134;323;441;
97;112;650;873;134;321;429;
98;113;647;641;134;319;422;
99;114;662;603;134;318;418;
100;115;654;557;134;311;401;
101;116;674;711;134;310;373;
102;117;664;609;134;305;392;
103;118;655;698;134;305;393;
104;119;631;615;134;300;412;
105;120;663;674;134;283;342;
106;121;682;728;134;283;358;
107;122;692;601;134;281;332;
108;123;722;597;134;281;373;
109;124;712;582;134;260;358;
110;125;693;625;134;260;339;
111;126;726;668;134;254;325;
112;127;687;588;134;250;329;
113;128;636;619;134;250;303;
