No.;Processes;Average Execution Time;Average Waiting Time;Average Processor Access Time;Process Switches;Processes Finished in 100 Cycles;
1;1000;10,536598;4763,745605;8,765000;2753;8,963303;
2;2000;10,500251;9486,817383;8,750000;5500;9,004587;
3;3000;10,509632;14201,778320;8,745000;8247;9,045732;
4;4000;10,500828;18915,722656;8,732500;10986;9,125571;
5;5000;10,498822;23135,207031;8,734000;13734;9,106033;
6;6000;10,496819;27342,435547;8,736667;16484;9,096037;
7;7000;10,500314;30459,755859;8,737143;19232;9,110966;
8;8000;10,502488;33678,656250;8,737500;21980;9,118721;
9;9000;10,497124;37224,183594;8,731667;24717;9,122843;
10;10000;10,495770;40825,066406;8,729000;27458;9,114260;
11;11000;10,499718;44619,472656;8,732273;30211;9,115449;
12;12000;10,498466;48560,988281;8,730416;32953;9,109673;
13;13000;10,497572;52598,191406;8,730000;35698;9,132115;
14;14000;10,501266;56677,332031;8,733929;38455;9,129159;
15;15000;10,498908;60846,628906;8,732667;41198;9,124847;
16;16000;10,499567;65088,496094;8,734375;43950;9,111365;
17;17000;10,499804;69383,976563;8,734118;46696;9,123053;
18;18000;10,499310;73544,250000;8,733334;49440;9,115229;
19;19000;10,499223;77476,921875;8,733685;52188;9,127404;
20;20000;10,499153;81212,304688;8,734250;54937;9,119232;
21;21000;10,500137;85025,906250;8,733809;57682;9,122662;
22;22000;10,498895;88919,304688;8,734091;60430;9,122093;
23;23000;10,498731;92862,156250;8,731522;63165;9,130262;
24;24000;10,498003;96828,664063;8,729584;65902;9,127141;
25;25000;10,499808;100859,257813;8,731200;68656;9,127512;
26;26000;10,499918;104946,414063;8,731539;71404;9,120520;
27;27000;10,499088;109066,117188;8,731297;74149;9,129567;
28;28000;10,500750;113134,609375;8,733214;76906;9,128833;
29;29000;10,500525;117239,437500;8,732759;79650;9,125669;
30;30000;10,500654;121387,539063;8,733666;82402;9,129376;
31;31000;10,500413;125573,937500;8,733709;85149;9,126400;
32;32000;10,501223;129750,453125;8,734062;87898;9,127568;
33;33000;10,499693;133946,750000;8,732424;90634;9,128702;
34;34000;10,499989;138156,984375;8,733235;93386;9,123858;
35;35000;10,499905;142234,796875;8,732857;96130;9,128392;
36;36000;10,500736;146217,234375;8,734028;98885;9,128615;
37;37000;10,499286;150135,859375;8,733648;101629;9,130092;
38;38000;10,499853;154095,390625;8,733421;104374;9,125961;
39;39000;10,500201;158096,390625;8,733334;107120;9,127635;
40;40000;10,499908;162135,546875;8,732500;109860;9,125371;
41;41000;10,500029;166210,234375;8,733781;112617;9,127868;
42;42000;10,499724;170302,546875;8,732976;115357;9,126359;
43;43000;10,499644;174419,843750;8,732675;118101;9,129142;
44;44000;10,499736;178557,656250;8,732500;120846;9,126428;
45;45000;10,501573;182700,703125;8,734000;123606;9,129261;
46;46000;10,501151;186842,406250;8,734240;126355;9,127258;
47;47000;10,499834;191000,734375;8,733298;129093;9,128644;
48;48000;10,500157;194963,328125;8,733230;131839;9,132040;
49;49000;10,500169;198947,093750;8,733061;134584;9,128239;
50;50000;10,500251;202926,468750;8,733200;137332;9,131324;
