No.;Processes;Average Execution Time;Average Waiting Time;Process Switches;Processes Finished In 100 Cycles;
1;100;10,465001;476,959076;100;9,200000;
2;200;10,418999;943,228760;200;9,190476;
3;500;10,514000;2377,943115;500;9,092592;
4;1000;10,536598;4769,263672;1000;9,091743;
5;2000;10,500251;9500,791016;2000;9,137614;
6;5000;10,498822;23182,376953;5000;9,135283;
7;10000;10,495770;41005,390625;10000;9,136197;
8;20000;10,499153;81582,625000;20000;9,133851;
9;50000;10,500251;203853,718750;50000;9,132054;
10;100000;10,499937;408261,718750;100000;9,132340;
