No.;Processes;Average Execution Time;Average Waiting Time;Starving Processes;Process Switches;Processes Finished in 100 Cycles;
1;100;10,465001;139,065994;0;100;9,500000;
2;200;10,418999;285,598022;13;200;9,333333;
3;500;10,514000;737,464478;139;500;9,166667;
4;1000;10,536598;1486,450195;424;1000;9,128440;
5;2000;10,500251;2916,585449;1063;2000;9,151376;
6;5000;10,498822;6908,275391;3051;5000;9,135283;
7;10000;10,495770;10654,450195;5955;10000;9,138025;
8;20000;10,499153;21026,882813;12453;20000;9,134308;
9;50000;10,500251;52092,621094;32193;50000;9,132237;
10;100000;10,499937;103986,859375;64787;100000;9,132797;
